Time,Open,High,Low,Close,Volume,VolumeForecast
2022-06-29 10:30:00+03:30,1817.552,1819.718,1815.968,1816.781,2450949.907,2126760.0010468657
2022-06-29 11:30:00+03:30,1816.73,1817.498,1815.598,1816.425,2045490.027,2450949.911535449
2022-06-29 12:30:00+03:30,1816.425,1818.468,1811.978,1814.609,2355309.963,2045490.0196682077
2022-06-29 13:30:00+03:30,1814.623,1826.398,1814.558,1824.797,1905709.982,2355309.964736202
2022-06-29 14:30:00+03:30,1824.797,1827.248,1823.888,1824.863,1969110.012,1905709.970577042
2022-06-29 15:30:00+03:30,1824.863,1832.958,1824.738,1831.213,2786649.942,1969110.002432672
2022-06-29 16:30:00+03:30,1831.178,1832.558,1815.993,1816.653,4294000.149,2786649.956360917
2022-06-29 17:30:00+03:30,1816.636,1820.294,1814.806,1815.493,3480070.114,4294000.2074789405
2022-06-29 18:30:00+03:30,1815.476,1819.198,1815.131,1818.433,2834359.884,3480070.148656352
2022-06-29 19:30:00+03:30,1818.433,1819.603,1816.628,1816.833,1727169.991,2834359.89975732
2022-06-29 20:30:00+03:30,1816.838,1816.978,1815.543,1816.518,1354089.975,1727169.9743514275
2022-06-29 21:30:00+03:30,1816.478,1819.233,1816.258,1817.818,1370149.97,1354089.9474318991
2022-06-29 22:30:00+03:30,1817.813,1819.038,1817.303,1818.333,1221079.946,1370149.942901953
2022-06-29 23:30:00+03:30,1818.288,1819.153,1817.418,1817.448,502179.9803,1221079.9145388824
2022-06-30 01:30:00+03:30,1817.198,1818.518,1817.098,1818.288,494320.0052,502179.92779769027
2022-06-30 02:30:00+03:30,1818.268,1818.878,1817.418,1818.763,514540.0167,494319.95246764016
2022-06-30 03:30:00+03:30,1818.768,1820.638,1817.908,1819.558,713339.9844,514539.9645594517
2022-06-30 04:30:00+03:30,1819.518,1820.348,1817.993,1819.688,1156110.048,713339.938078047
2022-06-30 05:30:00+03:30,1819.688,1821.923,1819.293,1819.698,1093919.992,1156110.0146373052
2022-06-30 06:30:00+03:30,1819.703,1820.228,1817.073,1817.238,802529.9907,1093919.9568170893
2022-06-30 07:30:00+03:30,1817.238,1817.248,1814.878,1816.038,584930.0027,802529.9469885135
2022-06-30 08:30:00+03:30,1816.038,1816.918,1815.103,1815.263,1022320.032,584929.9526196674
2022-06-30 09:30:00+03:30,1815.263,1817.686,1815.148,1816.693,2279259.92,1022319.9947214592
2022-06-30 10:30:00+03:30,1816.693,1817.548,1812.383,1814.963,2215399.981,2279259.919510324
2022-06-30 11:30:00+03:30,1814.963,1816.963,1812.288,1815.778,1824339.986,2215399.9786412334
2022-06-30 12:30:00+03:30,1815.823,1816.008,1810.926,1812.888,1753839.97,1824339.9721954567
