Open_imp,High_imp,Low_imp,Close_imp,Volume_imp,step_1_imp,step_2_imp,step_3_imp,step_4_imp,step_5_imp,step_6_imp,step_7_imp,step_8_imp,step_9_imp,step_10_imp,step_11_imp,step_12_imp,step_13_imp,step_14_imp,step_15_imp,step_16_imp,step_17_imp,step_18_imp,step_19_imp,step_20_imp,step_21_imp,step_22_imp,step_23_imp,step_24_imp
0.24304442,0.2119704,0.11822231,0.19913933,0.22762348,0.039077826,0.047441907,0.050426748,0.026509507,0.01739663,0.035899974,0.07214044,0.02713893,0.08948709,0.028867234,0.0369204,0.028679715,0.061428,0.033365227,0.038923282,0.060014933,0.022663081,0.032700725,0.022394104,0.06994141,0.018304728,0.027907202,0.041415803,0.070955075
0.11594346,0.22276977,0.13241383,0.22106047,0.30781242,0.047754336,0.051932022,0.057484034,0.032213055,0.01757761,0.023410045,0.053596936,0.03602892,0.056780804,0.043326985,0.072071195,0.027272291,0.034270085,0.023913585,0.008047205,0.045175944,0.044588868,0.064762846,0.024251902,0.04060466,0.020669412,0.039460685,0.027496418,0.107310146
0.21833454,0.16390279,0.135899,0.11260969,0.369254,0.013630048,0.043412615,0.022495076,0.011942225,0.021775095,0.0281676,0.021633236,0.030140672,0.01783993,0.019509804,0.0257016,0.028233247,0.062571555,0.019443348,0.07625619,0.017688723,0.078352705,0.10300347,0.06734356,0.016221637,0.024585597,0.021353811,0.12585698,0.10284128
0.23105818,0.119835176,0.18752873,0.1839804,0.27759755,0.0137430485,0.018907556,0.02454958,0.035057645,0.05764649,0.030659689,0.031986125,0.029359935,0.06258578,0.007871364,0.06882817,0.05441677,0.037002448,0.062497135,0.018568248,0.008538283,0.055977874,0.04899357,0.026843362,0.03389976,0.10578017,0.075772874,0.0428451,0.04766902
0.12987418,0.20038399,0.17961273,0.21121335,0.27891576,0.027872322,0.062287904,0.019054841,0.07323193,0.03009658,0.038126122,0.034554902,0.046518438,0.03642889,0.030676061,0.013395421,0.052967697,0.047758564,0.025155928,0.022450073,0.050474465,0.021281423,0.014088349,0.05108738,0.032607745,0.06169065,0.053570803,0.04572263,0.108900934
0.19120595,0.115319364,0.21020874,0.20052141,0.28274453,0.06373693,0.06873117,0.036330774,0.033312727,0.08148738,0.05233831,0.03816146,0.035049748,0.066783234,0.028625568,0.030643001,0.029261153,0.03170292,0.01489208,0.025357455,0.030826917,0.036745515,0.048058674,0.023852943,0.031441968,0.053859532,0.05611736,0.018351084,0.06433214
0.18777525,0.14039882,0.17746562,0.21226683,0.28209344,0.04584882,0.010263652,0.0227228,0.020279607,0.031772625,0.013816874,0.05569456,0.0819515,0.04573737,0.030174641,0.051837333,0.065918595,0.057964545,0.03469114,0.027734458,0.024361407,0.03793213,0.094535254,0.030561972,0.044276748,0.02605521,0.07332083,0.044369817,0.028178087
0.19635765,0.19183794,0.14033619,0.19942972,0.27203843,0.05258523,0.056480624,0.024186121,0.027893046,0.035490304,0.04160245,0.036587007,0.046639394,0.029223988,0.02466735,0.02231154,0.046330165,0.023906073,0.027045073,0.049427655,0.061008215,0.05541187,0.05410277,0.043776985,0.052035388,0.055906624,0.056795407,0.033313766,0.043273013
0.17263879,0.109204896,0.12863433,0.33036005,0.259162,0.014083422,0.07451835,0.01802171,0.023343474,0.027607234,0.021887748,0.03888909,0.03488335,0.014485038,0.057664983,0.033880815,0.10216622,0.008524696,0.06859601,0.123952866,0.006288205,0.010768788,0.031246953,0.025456522,0.07338892,0.006314029,0.026020503,0.04851927,0.10949173
0.21604428,0.10653213,0.20649932,0.15716743,0.3137568,0.0213573,0.055300392,0.06812546,0.040384162,0.062142678,0.04651341,0.05209145,0.022904685,0.037183393,0.035431314,0.018309118,0.054052617,0.06877247,0.01443627,0.048638843,0.033157032,0.028002506,0.037334453,0.02522414,0.012814986,0.03192008,0.03850627,0.05691355,0.09048348
0.13764884,0.20590769,0.18879753,0.17092933,0.2967166,0.035881896,0.016986322,0.062365025,0.024927536,0.051242407,0.053148918,0.014525771,0.037913885,0.09378713,0.026931666,0.019199576,0.04418058,0.028069565,0.04889516,0.02370705,0.029385343,0.08743461,0.04869877,0.017993271,0.05478566,0.032198418,0.029149199,0.03437912,0.084213085
0.19984922,0.17435275,0.23295707,0.1775404,0.21530056,0.043629635,0.032021224,0.04237965,0.027599622,0.06443008,0.03611524,0.04067298,0.03250255,0.022762308,0.047163036,0.008496852,0.088711776,0.01607703,0.09221286,0.034336586,0.050846323,0.036411755,0.019012617,0.022879507,0.08303382,0.047745764,0.032595392,0.03177192,0.046591453
0.14947177,0.18551353,0.187521,0.16928752,0.30820614,0.059189476,0.0402782,0.02194323,0.027091898,0.019756276,0.06954175,0.028449576,0.03764539,0.03885005,0.02270563,0.07029868,0.069498755,0.04605081,0.018135792,0.027085377,0.029997403,0.01903747,0.029705591,0.057412114,0.09061053,0.07130298,0.047065865,0.016356507,0.041990638
0.20594524,0.1304145,0.16570203,0.2174662,0.28047207,0.006224677,0.0770937,0.033728007,0.012268597,0.02396499,0.044562556,0.035934467,0.07790598,0.06053559,0.02381286,0.051985636,0.03130635,0.05165053,0.027714308,0.07858469,0.046291173,0.04095269,0.021915311,0.00934554,0.0635865,0.05572461,0.054457873,0.039108854,0.031344514
