Time,Open,High,Low,Close,Volume
06.01.2018 05:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
06.01.2018 06:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
06.01.2018 07:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
06.01.2018 08:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
06.01.2018 09:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
06.01.2018 10:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
06.01.2018 11:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
06.01.2018 12:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
06.01.2018 13:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
06.01.2018 14:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
06.01.2018 15:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
06.01.2018 16:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
06.01.2018 17:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
06.01.2018 18:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
06.01.2018 19:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
06.01.2018 20:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
06.01.2018 21:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
06.01.2018 22:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
06.01.2018 23:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
07.01.2018 00:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
07.01.2018 01:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
07.01.2018 02:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
07.01.2018 03:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
07.01.2018 04:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
07.01.2018 05:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
07.01.2018 06:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
07.01.2018 07:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
07.01.2018 08:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
07.01.2018 09:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
07.01.2018 10:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
07.01.2018 11:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
07.01.2018 12:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
07.01.2018 13:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
07.01.2018 14:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
07.01.2018 15:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
07.01.2018 16:30:00.000 GMT+0330,1319.221,1319.221,1319.221,1319.221,0
